"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","05","07",201805,1,0
"2018","05","08",201805,4,148703022.577605
"2018","05","09",201805,1,9126157.43427108
"2018","05","10",201805,6,81859644.8668566
"2018","05","12",201805,4,65502721.1696314
"2018","05","13",201805,1,42982272.2251887
"2018","05","14",201805,1,2021892.924
"2018","05","15",201805,2,44085997.2877923
"2018","05","17",201805,3,47844638.60956
"2018","05","18",201805,2,98104473.8094287
"2018","05","19",201805,1,447849.282666
"2018","05","20",201805,1,18314811.578823
"2018","05","21",201805,1,66960140.0052162
"2018","05","22",201805,1,42196644.4996928
"2018","05","24",201805,2,13101821.6658757
"2018","05","26",201805,2,131233790.882314
"2018","05","28",201805,2,60959823.9767168
"2018","05","30",201805,1,26797457.1083868
"2018","06","01",201806,4,92348636.2034461
"2018","06","02",201806,2,78457878.8736155
"2018","06","03",201806,4,134672414.530846
"2018","06","05",201806,3,31771816.6478075
"2018","06","07",201806,1,43031387.4039003
"2018","06","08",201806,4,46186286.5985592
"2018","06","09",201806,2,9081041.13288226
"2018","06","10",201806,2,87956272.9922664
"2018","06","11",201806,1,347906.76231
"2018","06","12",201806,2,70075426.4520485
"2018","06","13",201806,1,3714795.12728568
"2018","06","14",201806,2,36863908.0910022
"2018","06","15",201806,1,25325797.1304516
"2018","06","16",201806,1,85097489.848327
"2018","06","18",201806,2,49401613.6683425
"2018","06","19",201806,1,3488525.64490784
"2018","06","21",201806,3,120997817.218778
"2018","06","22",201806,2,46856145.2702855
"2018","06","23",201806,1,15345071.1270865
"2018","06","25",201806,1,19608603.9599701
"2018","06","27",201806,2,111784904.2966
"2018","06","29",201806,1,1519697.074786
"2018","06","30",201806,3,94159667.3757143
"2018","07","02",201807,1,23209756.8364041
"2018","07","03",201807,2,31694022.8370541
"2018","07","04",201807,1,70036600.8650206
"2018","07","05",201807,2,37240523.6299143
"2018","07","09",201807,1,9474147.04417208
"2018","07","10",201807,1,201423.281601
"2018","07","11",201807,1,38414173.7139041
"2018","07","12",201807,1,57252928.5374236
"2018","07","13",201807,2,96031306.4366152
"2018","07","14",201807,2,48058909.2808666
"2018","07","15",201807,2,102057154.161702
"2018","07","16",201807,1,25602065.0990861
"2018","07","17",201807,3,66168980.8460091
"2018","07","18",201807,2,12187445.7200137
"2018","07","19",201807,1,20072297.2201113
"2018","07","21",201807,3,6040684.61798
"2018","07","23",201807,1,40287035.6604041
"2018","07","24",201807,2,10221395.80178
"2018","07","25",201807,2,34407796.7767875
"2018","07","26",201807,3,106036189.32823
"2018","07","27",201807,3,26823583.9233643
"2018","07","28",201807,1,32921086.742375
"2018","07","29",201807,2,17361997.1372141
