"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"100",2018-04-10,142383,261350530654.971,82415.2630136986
"101",2018-04-11,142426,261452694567.271,82182.202739726
"102",2018-04-12,142446,261489467481.082,81951.0054794521
"103",2018-04-13,142447,261492766954.585,81696.8520547945
"104",2018-04-14,142407,261425399239.066,81353.6739726027
"105",2018-04-15,142347,261352148018.105,81003.8219178082
"106",2018-04-16,142382,261431133588.092,80729.0301369863
"107",2018-04-17,142452,261585166566.85,80474.1150684931
"108",2018-04-18,142538,261778874992.976,80245.1643835616
"109",2018-04-19,142554,261839680207.235,79989.1643835616
"110",2018-04-20,142624,261945956371.313,79768.8520547945
"111",2018-04-21,142718,262204343115.012,79560.3260273973
"112",2018-04-22,142576,261969638816.041,79198.3917808219
"113",2018-04-23,142662,262111139992.331,78940.5589041096
"114",2018-04-24,142779,262360556321.487,78704.4493150685
"115",2018-04-25,142866,262519408892.074,78476.1945205479
"116",2018-04-26,142909,262645614609.74,78286.0739726027
"117",2018-04-27,143045,262955014378.45,78114.6356164384
"118",2018-04-28,143000,262874958183.308,77839.6821917808
"119",2018-04-29,142829,262510381742.924,77502.4493150685
"120",2018-04-30,143257,263205904563.218,77493.2602739726
"121",2018-05-01,143049,262930419409.947,77284.5178082192
"122",2018-05-02,142214,261783275341.433,77029.0602739726
"123",2018-05-03,142216,261781604141.23,76763.0493150685
"124",2018-05-04,142273,261887854769.069,76525.3287671233
"125",2018-05-05,142176,261703974682.606,76209.405479452
"126",2018-05-06,142024,261423624681.096,75871.1671232877
"127",2018-05-07,142041,261500468753.232,75588.602739726
"128",2018-05-08,142131,261678094571.303,75314.9561643836
"129",2018-05-09,142133,261725379668.562,75036.9890410959
"130",2018-05-10,142177,261792887908.321,74765.0684931507
"131",2018-05-11,142174,261803478890.693,74485.1671232877
"132",2018-05-12,142116,261711373696.318,74169.3232876712
"133",2018-05-13,141961,261391029122.185,73804.0082191781
"134",2018-05-14,141854,261177280025.485,73435.0712328767
"135",2018-05-15,141993,261463622539.349,73185.898630137
"136",2018-05-16,142008,261513111639.446,72913.7397260274
"137",2018-05-17,141965,261433607900.222,72630.5479452055
"138",2018-05-18,142011,261524860070.607,72377.2794520548
"139",2018-05-19,141919,261311509282.923,72048.4246575342
"140",2018-05-20,141792,261066575527.088,71692.8821917808
"141",2018-05-21,141805,261113165504.204,71405.3287671233
"142",2018-05-22,141916,261295455033.04,71134.9561643836
"143",2018-05-23,141978,261413768500.971,70875.4684931507
"144",2018-05-24,142066,261555180942.22,70641.0547945205
"145",2018-05-25,142122,261607221400.546,70394.2301369863
"146",2018-05-26,142028,261439221601.633,70080.4931506849
"147",2018-05-27,141874,261113330898.593,69736.7671232877
"148",2018-05-28,141858,261103161247.885,69435.2849315068
"149",2018-05-29,141859,261099987706.619,69107.4136986301
"150",2018-05-30,142075,261538989110.193,68877.2493150685
"151",2018-05-31,142167,261621222950.861,68639.4273972603
"152",2018-06-01,142104,261481517989.957,68412.5452054795
"153",2018-06-02,141848,261052638612.716,68091.0136986301
"154",2018-06-03,141678,260719509974.514,67729.2712328767
"155",2018-06-04,141565,260473498397.036,67356.3150684931
"156",2018-06-05,141614,260554921818.218,67040.2438356164
"157",2018-06-06,141636,260584670444.977,66748.8246575342
"158",2018-06-07,141630,260586379548.892,66440.6164383562
"159",2018-06-08,141622,260528201006.071,66141.9369863014
"160",2018-06-09,141513,260049279203.364,65817.098630137
"161",2018-06-10,141350,259760797575.006,65459.2246575342
"162",2018-06-11,141234,259559610078.617,65085.3945205479
"163",2018-06-12,141291,259647863665.992,64772.4520547945
"164",2018-06-13,141347,259744162241.111,64499.7095890411
"165",2018-06-14,141370,259807049850.237,64223.3068493151
"166",2018-06-15,141498,260112635304.571,64006.5479452055
"167",2018-06-16,141340,259731490028.578,63685.5835616438
"168",2018-06-17,141195,259439209049.292,63344.3287671233
"169",2018-06-18,141043,259345870900.797,63044.6794520548
"170",2018-06-19,141206,259659091053.375,62813.4082191781
"171",2018-06-20,141352,259934567593.975,62556.2931506849
"172",2018-06-21,141336,259942311634.58,62286.698630137
"173",2018-06-22,141451,260172059498.661,62044.2602739726
"174",2018-06-23,141367,259993443276.789,61727.3945205479
"175",2018-06-24,141264,259801926155.238,61383.0356164384
"176",2018-06-25,141262,259813736928.97,61076.9808219178
"177",2018-06-26,141307,259904222743.985,60783.9616438356
"178",2018-06-27,141455,260209273583.683,60521.2520547945
"179",2018-06-28,141545,260355118324.594,60299.7068493151
"180",2018-06-29,141672,260616622107.021,60112.9890410959
"181",2018-06-30,141727,260752859856.492,59946.0328767123
"182",2018-07-01,141303,259987052900.782,59690.7917808219
"183",2018-07-02,140524,258839957580.569,59319.2438356164
"184",2018-07-03,140570,258940364263.602,58996.9671232877
"185",2018-07-04,140648,259109263432.831,58692.8602739726
"186",2018-07-05,140748,259285430333.466,58419.1315068493
"187",2018-07-06,140768,259350629243.797,58141.1643835616
"188",2018-07-07,140696,259184915986.781,57802.4767123288
"189",2018-07-08,140593,258988101575.636,57437.4136986301
"190",2018-07-09,140562,258943979171.968,57098.8493150685
"191",2018-07-10,140705,259224348226.115,56823.6082191781
"192",2018-07-11,140722,259259551822.187,56532.9506849315
"193",2018-07-12,140774,259389077187.933,56251.2630136986
"194",2018-07-13,140817,259473534610.46,55964.5945205479
"195",2018-07-14,140694,259215135427.438,55657.5068493151
"196",2018-07-15,140555,258907829311.51,55305.4931506849
"197",2018-07-16,140501,258884702623.453,54989.2136986301
"198",2018-07-17,140596,259085127425.713,54696.904109589
"199",2018-07-18,140684,259232513640.293,54418.5095890411
"200",2018-07-19,140753,259350809119.487,54141.1643835616
"201",2018-07-20,140588,259045674210.906,53760.7452054794
"202",2018-07-21,140654,259194129465.564,53427.3397260274
"203",2018-07-22,140507,258799827622.797,53060.2
"204",2018-07-23,140538,258856514554.304,52741.8794520548
"205",2018-07-24,140636,259065764695.474,52443.0383561644
"206",2018-07-25,140743,259291137785.737,52160.2191780822
"207",2018-07-26,140850,259518584679.818,51894.8383561644
"208",2018-07-27,141149,260031727228.148,51709.7150684931
"209",2018-07-28,141126,259961722492.77,51394.301369863
"210",2018-07-29,140995,259678689140.495,51032.8904109589
"211",2018-07-30,141075,259853519862.024,50745.8849315069
"212",2018-07-31,141359,260361527665.344,50540.301369863
"213",2018-08-01,141211,260124005094.818,50311.0547945205
"214",2018-08-02,140707,259717257204.309,50052.0438356164
"215",2018-08-03,140596,259599129557.002,49784.7726027397
"216",2018-08-04,140561,259527057917.693,49460.0931506849
"217",2018-08-05,140507,259416205422.861,49117.4136986301
"218",2018-08-06,140545,259459014064.786,48806.7835616438
"219",2018-08-07,140452,259309064346.977,48424.802739726
"220",2018-08-08,140620,259635942398.297,48112.7369863014
"221",2018-08-09,140674,259687745249.526,47804.9890410959
"222",2018-08-10,140727,259776777709.492,47513.3698630137
"223",2018-08-11,140404,258751944074.822,47179.0821917808
"224",2018-08-12,140311,258570981856.358,46817.2383561644
"225",2018-08-13,140368,258692629519.884,46505.4794520548
"226",2018-08-14,140461,258881411973.725,46204.6712328767
"227",2018-08-15,140519,258984407251.157,45887.4
"228",2018-08-16,140637,259188719176.73,45608.7945205479
"229",2018-08-17,140785,259454270202.355,45341.2054794521
"230",2018-08-18,140764,259360556243.891,45006.3150684932
"231",2018-08-19,140667,259136057511.67,44642.3780821918
"232",2018-08-20,140586,258985527321.388,44266.0219178082
"233",2018-08-21,140662,259148453720.029,43948.695890411
"234",2018-08-22,140811,259438955778.271,43648.7123287671
"235",2018-08-23,140904,259635258133.564,43364.8849315069
"236",2018-08-24,141045,259948330612.506,43079.0410958904
"237",2018-08-25,140981,259769042378.311,42731.4493150685
"238",2018-08-26,140909,259645623745.063,42369.8356164384
"239",2018-08-27,140993,259817854095.305,42053.9205479452
"240",2018-08-28,141142,260140474555.325,41757.7698630137
"241",2018-08-29,141299,260593599522.144,41476.9698630137
"242",2018-08-30,141395,260894204960.171,41200.9205479452
"243",2018-08-31,141771,262083658824.64,41007.8767123288
"244",2018-09-01,141868,262070764806.108,41627.3068493151
"245",2018-09-02,138812,253752607783.693,41328.4136986301
"246",2018-09-03,138877,253851661981.704,41000.6684931507
"247",2018-09-04,139009,254064218298.809,40696.3917808219
"248",2018-09-05,139191,254349368653.965,40419.9315068493
"249",2018-09-06,139421,254740057975.918,40180.3397260274
"250",2018-09-07,139537,254924676540.385,39886.0493150685
"251",2018-09-08,139491,254813032832.96,39542.0054794521
"252",2018-09-09,139406,254642045664.992,39183.1068493151
"253",2018-09-10,139418,254701231047.686,38865.0082191781
"254",2018-09-11,139427,254778497763.658,38559.9178082192
"255",2018-09-12,139441,254714296927.167,38262.2410958904
"256",2018-09-13,139510,254786220553.253,37950.4164383562
"257",2018-09-14,139588,254885654768.682,37635.6164383562
"258",2018-09-15,140399,256015666914.135,37533.2630136986
"259",2018-09-16,139455,254569481701.405,37166.1452054794
"260",2018-09-17,139534,254672227158.631,36831.7780821918
"261",2018-09-18,139662,254900961076.343,36513.3342465753
